day	hour	value
1	0	20
1	1	13
1	2	9
1	3	2
1	4	15
1	5	19
1	6	1
1	7	5
1	8	2
1	9	1
1	11	2
1	12	2
1	13	2
1	14	8
1	15	3
1	16	2
1	19	2
1	20	2
1	21	4
2	1	1
2	2	5
2	3	3
2	4	5
2	5	9
2	6	6
2	7	11
2	8	6
2	9	10
2	10	3
2	11	4
2	12	6
2	13	1
2	14	1
2	15	3
2	16	2
2	17	5
2	18	4
2	19	2
2	20	9
2	21	4
2	22	9
2	23	7
3	0	6
3	1	3
3	2	1
3	3	4
3	4	3
3	5	1
3	7	1
3	8	3
3	9	5
3	10	2
3	11	2
3	15	1
3	17	1
3	19	1
3	20	1
3	21	1
3	23	2
4	0	4
4	1	4
4	2	5
4	3	3
4	4	4
4	5	1
4	7	3
4	9	2
4	10	2
4	17	2
4	20	4
4	21	7
4	22	6
4	23	2
5	0	1
5	1	1
5	2	10
5	3	4
5	4	4
5	6	1
5	7	4
5	8	1
5	9	1
5	10	4
5	11	6
5	12	1
5	13	1
5	17	4
5	18	3
5	19	4
5	21	1
5	22	3
5	23	5
6	0	11
6	1	4
6	2	3
6	3	6
6	4	1
6	6	3
6	7	2
6	8	2
6	9	2
6	10	2
6	11	2
6	13	1
6	14	1
6	15	3
6	17	4
6	18	1
6	19	2
6	20	1
6	21	3
6	22	4
6	23	1
7	0	2
7	1	1
7	2	4
7	3	2
7	4	3
7	5	1
7	7	6
7	8	6
7	9	2
7	10	1
7	11	1
7	12	5
7	13	3
7	15	2
7	16	1
7	18	4
7	19	5
7	20	26
7	21	16
7	22	10
7	23	16
